"Province","longitude","latitude"
"Aceh",96.9095227477617,4.22508189209378
"Sumatera Utara",99.0578878489292,2.18477921491051
"Sumatera Barat",100.466805030299,-0.851914347725705
"Riau",101.812891953911,0.510525849181105
"Jambi",103.599319999736,-1.61774999964233
"Sumatera Selatan",104.170419444649,-3.21334682184974
"Bengkulu",102.263119999718,-3.79115999999227
"Kepulauan Bangka Belitung",105.986948081808,-2.25295641115243
"Lampung",105.018313050947,-4.91807308743893
"Kepulauan Riau",108.202228888814,3.91594724114621
"DKI Jakarta",106.826489999706,-6.17148000038094
"Jawa Barat",107.602807897714,-6.91998021567687
"Jawa Tengah",110.201112529175,-7.25897038293399
"Daerah Istimewa Yogyakarta",110.445366971108,-7.89501381516097
"Jawa Timur",112.733678801182,-7.72011301873957
"Banten",106.109197068962,-6.45618159892313
"Bali",115.131650995429,-8.36974326108648
"Nusa Tenggara Barat",117.506862452253,-8.60665208411136
"Nusa Tenggara Timur",121.141829170268,-8.60484333194617
"Kalimantan Barat",111.120762400644,-0.0859012339120799
"Kalimantan Tengah",113.181047851697,-1.63434004521365
"Kalimantan Selatan",115.311307834114,-2.4497791372641
"Kalimantan Timur",116.470858393321,0.461046226990024
"Kalimantan Utara",116.216718308792,2.88882096058061
"Sulawesi Utara",124.535378849736,1.28609768707917
"Sulawesi Tengah",120.449592500384,-1.45921495392191
"Sulawesi Selatan",120.161157703645,-3.74711571180169
"Sulawesi Tenggara",122.078678055911,-4.13280397096724
"Gorontalo",123.06184000015,0.537070000339444
"Sulawesi Barat",119.343471383385,-2.46190201511602
"Maluku",129.360424999987,-3.12611934317694
"Maluku Utara",128.015929441901,0.869337000869428
"Papua",140.000000000375,-5.00000000022751
"Papua Barat",132.968341711948,-2.04172328187952
